,snr,ch,packet,nn_loss,bl_loss
3581,24.0,E,3581,1.69868,0.03651
1021,28.0,B,1021,0.43839,0.00299
5689,28.0,B,5689,0.34805,0.00137
9979,20.0,E,9979,0.67253,0.02341
4317,36.0,C,4317,0.43395,0.00518
4717,32.0,D,4717,1.25081,0.00707
5557,16.0,E,5557,0.65437,0.0208
6665,40.0,D,6665,2.36557,0.00794
3334,28.0,A,3334,1.30939,0.00097
7569,20.0,F,7569,1.08608,0.04776
4946,20.0,E,4946,0.33291,0.01896
5108,36.0,C,5108,0.92803,0.00089
6082,12.0,F,6082,2.07279,0.05294
5601,16.0,D,5601,1.55743,0.02299
9399,36.0,F,9399,0.45993,0.02914
64,36.0,B,64,0.32862,0.00107
2450,16.0,F,2450,0.89394,0.04797
7508,20.0,F,7508,0.73994,0.04768
3491,36.0,D,3491,0.68592,0.01185
2929,40.0,D,2929,0.5127,0.00329
3316,28.0,B,3316,0.27402,0.00299
1737,40.0,B,1737,0.35515,0.00108
5577,28.0,A,5577,0.84087,0.00093
2832,16.0,D,2832,1.48753,0.02144
3725,20.0,D,3725,0.54226,0.00853
6510,12.0,C,6510,0.40962,0.03615
5636,12.0,C,5636,0.46527,0.04638
3615,20.0,A,3615,2.65725,0.00597
8792,20.0,A,8792,0.51301,0.00518
95,40.0,D,95,0.6789,0.00507
972,12.0,D,972,0.7634,0.04484
5996,24.0,C,5996,0.4488,0.00407
2910,16.0,F,2910,0.48343,0.04954
8999,24.0,A,8999,0.14933,0.00234
2018,28.0,F,2018,0.93039,0.02512
8324,40.0,C,8324,0.46207,0.00259
7847,40.0,A,7847,0.21045,5e-05
4307,36.0,E,4307,1.05812,0.02834
6542,28.0,F,6542,0.55762,0.02374
9978,16.0,A,9978,0.26877,0.01193
273,12.0,D,273,1.0666,0.04164
3558,40.0,D,3558,0.34925,0.00235
8576,32.0,F,8576,0.7322,0.0315
63,28.0,D,63,0.35947,0.00432
3710,12.0,F,3710,1.07232,0.06916
3976,40.0,C,3976,0.41171,0.00405
5599,16.0,D,5599,0.26515,0.02034
9397,24.0,E,9397,0.85859,0.0116
9302,36.0,B,9302,0.13752,0.00109
9022,20.0,D,9022,0.49216,0.0088
611,20.0,D,611,0.41647,0.00933
7418,36.0,F,7418,0.93231,0.03238
7947,36.0,E,7947,0.89304,0.02142
8478,32.0,A,8478,0.78079,0.00034
