,snr,ch,packet,nn_loss,bl_loss
9978,16.0,A,9978,0.07654,0.01193
5727,36.0,E,5727,0.47168,0.02357
9286,24.0,A,9286,1.2234,0.00195
5599,16.0,D,5599,0.16019,0.02034
397,40.0,B,397,0.07604,0.00077
9829,36.0,F,9829,0.50084,0.03199
9440,40.0,F,9440,0.51019,0.03388
5011,12.0,B,5011,0.44573,0.03002
4317,36.0,C,4317,0.28702,0.00518
9448,28.0,E,9448,0.32558,0.01637
2206,12.0,A,2206,0.59066,0.03034
6234,32.0,E,6234,1.28671,0.03082
238,24.0,E,238,0.6278,0.02558
1602,24.0,B,1602,0.26265,0.00257
4717,32.0,D,4717,1.1042,0.00707
7330,24.0,D,7330,0.26927,0.00932
2376,12.0,A,2376,0.5543,0.02864
1255,12.0,E,1255,0.36937,0.04821
6653,16.0,A,6653,0.95591,0.0132
9979,20.0,E,9979,0.46797,0.02341
1157,28.0,E,1157,0.87022,0.01073
6510,12.0,C,6510,0.29552,0.03615
4417,36.0,C,4417,0.49509,0.00437
6842,36.0,A,6842,0.3219,0.00013
387,40.0,D,387,0.70974,0.00655
944,36.0,D,944,0.44964,0.00937
4100,36.0,D,4100,0.89804,0.00666
1238,20.0,B,1238,0.96174,0.00796
5231,12.0,D,5231,0.39762,0.04071
8478,32.0,A,8478,0.54175,0.00034
5689,28.0,B,5689,0.14647,0.00137
3615,20.0,A,3615,2.55543,0.00597
5854,28.0,C,5854,0.42609,0.00466
843,16.0,A,843,1.59028,0.01417
9411,16.0,C,9411,0.14367,0.01369
7569,20.0,F,7569,0.97182,0.04776
5601,16.0,D,5601,1.38604,0.02299
2705,20.0,F,2705,0.91533,0.02919
6465,28.0,A,6465,0.35005,0.00087
1021,28.0,B,1021,0.24901,0.00299
2391,40.0,B,2391,0.40743,0.00237
4307,36.0,E,4307,0.82594,0.02834
5520,24.0,A,5520,0.14422,0.00206
8324,40.0,C,8324,0.30684,0.00259
972,12.0,D,972,0.66316,0.04484
7847,40.0,A,7847,0.10902,5e-05
4946,20.0,E,4946,0.1712,0.01896
8636,40.0,C,8636,0.77415,0.00519
4638,16.0,C,4638,0.10245,0.01557
781,28.0,F,781,0.25657,0.02567
3976,40.0,C,3976,0.29667,0.00405
1737,40.0,B,1737,0.20281,0.00108
7418,36.0,F,7418,0.7953,0.03238
3710,12.0,F,3710,0.84588,0.06916
761,40.0,D,761,0.26319,0.01152
