,snr,ch,packet,nn_loss,bl_loss
7641,28.0,B,7641,0.02774,0.00131
4897,24.0,E,4897,0.033,0.03719
9710,36.0,B,9710,0.02294,0.00015
2186,16.0,A,2186,0.05276,0.01642
8294,16.0,C,8294,0.08014,0.0096
9710,40.0,E,9710,0.01463,0.01176
1682,12.0,E,1682,0.04206,0.05955
4607,20.0,F,4607,0.06598,0.03766
3142,28.0,E,3142,0.00298,0.00461
597,20.0,D,597,0.00136,0.00394
6464,16.0,D,6464,0.00044,0.00992
2446,20.0,C,2446,0.0386,0.00687
8586,36.0,C,8586,0.00962,0.00184
861,32.0,E,861,0.02436,0.00952
3675,12.0,D,3675,0.00907,0.02331
1410,12.0,E,1410,0.03599,0.05674
4361,28.0,A,4361,0.01972,0.00098
4410,36.0,F,4410,0.02602,0.05612
35,40.0,E,35,0.01737,0.0302
9474,36.0,D,9474,0.00091,0.00103
3340,36.0,B,3340,0.03511,0.00023
8102,32.0,A,8102,0.00918,0.0002
9599,36.0,E,9599,0.02174,0.03816
9358,16.0,F,9358,0.0477,0.02444
7089,24.0,F,7089,0.0127,0.00455
1872,28.0,C,1872,0.00781,0.00114
177,24.0,C,177,0.05484,0.003
4713,12.0,B,4713,0.03606,0.02646
2534,24.0,C,2534,0.01351,0.00316
4039,36.0,E,4039,0.00519,0.03056
2380,28.0,D,2380,0.00616,0.00105
4539,32.0,A,4539,0.04125,0.0002
594,28.0,A,594,0.02033,0.00037
4912,36.0,A,4912,0.02652,8e-05
1478,32.0,E,1478,0.00895,0.0176
5859,32.0,A,5859,0.03026,0.00033
9328,40.0,B,9328,0.00761,0.00036
8222,40.0,B,8222,0.00084,0.00022
5028,12.0,B,5028,0.00428,0.04759
4703,20.0,E,4703,0.05268,0.01952
4928,16.0,E,4928,0.00448,0.02286
6408,16.0,D,6408,0.00229,0.0078
5699,36.0,F,5699,0.05603,0.11056
1981,28.0,E,1981,0.02726,0.00121
2240,36.0,E,2240,0.13109,0.01549
6577,24.0,C,6577,0.05367,0.00408
4050,24.0,B,4050,0.02421,0.00239
7837,32.0,C,7837,0.00191,0.00144
5608,20.0,A,5608,0.0313,0.00516
3265,40.0,A,3265,0.00245,4e-05
3108,20.0,D,3108,0.14585,0.00373
9255,24.0,C,9255,0.01645,0.00705
7758,24.0,A,7758,0.03355,0.0022
7274,36.0,A,7274,0.02719,0.00018
3568,20.0,C,3568,0.03914,0.00447
5971,28.0,E,5971,0.05139,0.01706
3152,36.0,C,3152,0.04477,0.00175
2191,36.0,E,2191,0.00423,0.02602
3345,32.0,C,3345,0.02803,0.00242
6357,32.0,E,6357,0.03834,0.01486
6272,28.0,B,6272,0.0483,0.00055
4357,16.0,B,4357,0.19779,0.01512
1841,16.0,D,1841,0.00991,0.0086
1095,28.0,F,1095,0.00933,0.02738
6905,36.0,C,6905,0.01822,0.00054
2150,28.0,B,2150,0.00324,0.00151
7684,16.0,A,7684,0.03435,0.01365
75,32.0,E,75,0.03908,0.01371
9997,28.0,E,9997,0.00216,0.01993
6481,16.0,B,6481,0.07414,0.01745
5137,36.0,B,5137,0.10215,0.00104
3221,12.0,E,3221,0.02143,0.03139
9249,28.0,B,9249,0.04012,0.00219
146,36.0,E,146,0.02548,0.05316
290,20.0,A,290,0.05875,0.01019
518,12.0,C,518,0.03237,0.03653
5755,40.0,F,5755,0.01887,0.01546
2765,24.0,E,2765,0.03574,0.00253
490,20.0,C,490,0.15744,0.01045
974,20.0,C,974,0.03683,0.00368
4037,36.0,A,4037,0.02735,9e-05
2595,16.0,C,2595,0.02044,0.01262
2733,28.0,D,2733,0.11133,0.0013
6009,36.0,D,6009,0.04106,0.00127
5314,12.0,B,5314,0.03992,0.03662
787,32.0,E,787,0.09384,0.00642
1742,40.0,A,1742,0.01546,5e-05
7638,24.0,E,7638,0.02276,0.03238
4752,36.0,D,4752,0.00913,0.00533
7446,40.0,C,7446,0.00922,0.00095
2189,28.0,E,2189,0.00758,0.07396
2297,20.0,C,2297,0.00282,0.00527
430,12.0,B,430,0.02163,0.04132
6702,24.0,C,6702,0.03883,0.00109
362,24.0,F,362,0.01628,0.08945
5863,12.0,F,5863,0.02504,0.06039
5619,32.0,E,5619,0.00317,0.00863
