,snr,ch,packet,nn_loss,bl_loss
1729,32.0,B,1729,0.26658,0.22769
9286,24.0,A,9286,0.91125,0.00195
9399,36.0,F,9399,0.98229,0.24772
238,24.0,E,238,0.40107,0.17299
3581,24.0,E,3581,0.82826,0.45824
623,36.0,B,623,2.78608,0.04214
5557,16.0,E,5557,1.52588,0.38662
4116,16.0,D,4116,2.61974,2.06402
2371,40.0,B,2371,1.07327,0.18382
7508,20.0,F,7508,0.35991,0.24317
3114,24.0,D,3114,1.94429,0.30466
273,12.0,D,273,3.27732,0.24271
4717,32.0,D,4717,1.30684,0.47454
5689,28.0,B,5689,0.97943,0.16267
8636,40.0,C,8636,3.45002,0.09206
7847,40.0,A,7847,0.33865,5e-05
2297,20.0,C,2297,4.09449,0.49039
7356,32.0,A,7356,0.01197,0.00034
611,20.0,D,611,0.527,0.18351
1969,12.0,F,1969,1.26954,0.34898
9448,28.0,E,9448,0.55555,0.42358
6510,12.0,C,6510,1.43449,0.30509
3725,20.0,D,3725,1.53341,0.3897
5599,16.0,D,5599,0.33735,0.17854
6516,20.0,C,6516,0.51098,0.22749
6653,16.0,A,6653,0.20119,0.0132
7445,36.0,E,7445,0.78442,0.65057
9031,36.0,C,9031,0.37683,0.05306
259,28.0,F,259,0.40385,0.08734
1847,40.0,D,1847,0.96691,0.83996
2621,12.0,C,2621,0.9964,0.05897
3780,28.0,B,3780,1.59062,0.37212
1368,12.0,C,1368,0.4258,0.17661
5767,20.0,C,5767,0.3427,0.02766
6746,24.0,C,6746,2.0195,0.22073
7330,24.0,D,7330,0.65401,0.13752
2832,16.0,D,2832,0.94208,0.35347
4099,24.0,C,4099,1.28694,0.77628
2461,24.0,B,2461,2.39709,0.74414
7946,28.0,D,7946,0.42897,0.26523
9633,40.0,B,9633,1.96482,0.92523
95,40.0,D,95,0.47031,0.17831
3334,28.0,A,3334,1.26867,0.00097
9248,40.0,E,9248,0.90971,0.36388
627,24.0,E,627,1.17894,0.40047
5398,24.0,D,5398,1.34101,0.51544
6721,28.0,B,6721,1.46854,0.39333
4940,28.0,A,4940,0.13569,0.00075
9435,32.0,B,9435,1.94491,0.10229
5235,32.0,E,5235,0.60686,0.17828
1272,32.0,E,1272,0.90336,0.23536
4409,40.0,C,4409,1.02911,0.31514
3615,20.0,A,3615,0.55698,0.00597
1450,20.0,B,1450,1.18537,1.17027
2639,28.0,E,2639,0.23351,0.10277
